solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,10,4291.56,66366018,4279076361,0,0
sticky,cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,20,1639.53,30553860,1618108394,0,0
sticky,cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf,10,3900.93,56357646,4855502321,0,0
sticky,cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf,20,477.75,11871227,803360848,0,0
sticky,cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf,10,89.88,2708593,200502138,0,0
sticky,cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,10,154.02,2442444,623747924,0,0
sticky,cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf,10,328.41,6803629,760163907,0,0
sticky,cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf,10,11544,150531021,8194753874,0,0
sticky,cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,20,17.85,258438,61764505,0,0
sticky,cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf,10,13863,155104764,12452227075,0,0
sticky,cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,20,18.42,234628,68815888,0,0
sticky,cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf,10,5583.18,59607987,9224477019,0,0
sticky,CNP-5-0.cnf,10,3292.95,22763663,11327820273,0,0
sticky,CNP-5-100.cnf,10,1083.3,8935342,4444261766,0,0
sticky,CNP-5-1000.cnf,10,325.74,3564775,1614622888,0,0
sticky,CNP-5-1100.cnf,10,229.62,2615252,1171853971,0,0
sticky,CNP-5-1200.cnf,10,420.24,4495041,2003472912,0,0
sticky,CNP-5-1300.cnf,10,455.25,4907787,2137259448,0,0
sticky,CNP-5-1400.cnf,10,395.43,4480064,1917941890,0,0
sticky,CNP-5-1500.cnf,10,478.74,5457626,2290135879,0,0
sticky,CNP-5-1600.cnf,10,116.4,1549195,639360068,0,0
sticky,CNP-5-1700.cnf,10,159.27,2157259,874520113,0,0
sticky,CNP-5-1800.cnf,10,84.96,1228339,485105017,0,0
sticky,CNP-5-1900.cnf,10,665.43,7419942,2937260423,0,0
sticky,CNP-5-200.cnf,10,3737.19,24491947,12104856402,0,0
sticky,CNP-5-300.cnf,10,260.43,2709013,1321771436,0,0
sticky,CNP-5-400.cnf,10,1583.97,12580990,6131136760,0,0
sticky,CNP-5-500.cnf,10,2749.65,19471931,9443985460,0,0
sticky,CNP-5-600.cnf,10,1906.53,15071223,7195486191,0,0
sticky,CNP-5-700.cnf,10,1584.12,12661156,6023608078,0,0
sticky,CNP-5-800.cnf,10,932.25,8084410,3821103688,0,0
sticky,CNP-5-900.cnf,10,1747.53,13901897,6439998616,0,0
sticky,course_flat_0.12_2018_3_1.cnf,10,250.17,479865,2294315450,0,0
sticky,course_flat_0.2_2018_3.cnf,10,675.66,231128,4666135862,0,0
